省,市,医院名称,地址,邮政编码,电话,院长,床位数,等级,日门诊量,特色专科
黑龙江,哈尔滨市,哈尔滨市道里区妇产医院,道里区西五道街32号,150010,0451-4614219,袁英华,100,,138,
黑龙江,哈尔滨市,哈尔滨市道里区妇幼保健所,哈尔滨市道里区,150010,0451-4655634,,,,,
黑龙江,哈尔滨市,哈尔滨市道里区牙病防治院,哈尔滨市道里区中央大街2号,150010,0451-4610539,徐延平,40,,56,
黑龙江,哈尔滨市,哈尔滨市道里区新发红十字医院,哈尔滨市道里区机场路610号,150078,0451-4100849、4100851,李建文,51,,50,
黑龙江,哈尔滨市,哈尔滨市道里区公费医疗医院,哈尔滨市道里区安丰街,150016,0451-4310238,张葳,89,,105,
黑龙江,哈尔滨市,哈尔滨市香坊区中医院,香坊区司徒街5号,150036,0451-5661366,王健,70,,31,
黑龙江,哈尔滨市,哈尔滨市香坊区红十字妇产医院,哈尔滨市香坊区建国街24号,150036,0451-5662390,李喜春,73,,147,
黑龙江,哈尔滨市,哈尔滨市香坊区产院,哈尔滨市香坊区三辅街60号,150036,0451-5663223,蒋伟,80,,117,
黑龙江,哈尔滨市,黑龙江香坊区口腔病防治院,哈尔滨市香坊区安埠街208号,150030,0451-5663272,,62,,88,
黑龙江,哈尔滨市,哈尔滨市香坊区和平人民医院,哈尔滨市香坊区,150039,0451-2650055,徐桂芹,12,,102,
黑龙江,哈尔滨市,黑龙江省医院南岗分院,哈尔滨市,150008,,,,,,
黑龙江,哈尔滨市,黑龙江南岗区中医院,哈尔滨市南岗区文景街79号,150040,0451-2621229,,23,,59,
黑龙江,哈尔滨市,哈尔滨市南岗区妇产医院,南岗区西大直街215号,150080,0451-6343648、6343985,陈凤珍,100,,124,
黑龙江,哈尔滨市,哈尔滨市南岗区妇幼保健所,哈尔滨市南岗区,150080,0451-2650981,,,,,
黑龙江,哈尔滨市,哈尔滨南岗区中西医结合医院,南岗区宽街6号B-9号,150009,0451-2534410、2535130,,62,,57,
黑龙江,哈尔滨市,哈尔滨市南岗区中西医结合医院,哈尔滨市南岗区宽城街6号,150001,0451-2535130,罗寅初,68,,136,
黑龙江,哈尔滨市,哈尔滨南岗区口腔病防治院,奋斗路372号宽城街A01栋,150001,0451-2537850,,47,,67,
黑龙江,哈尔滨市,哈尔滨市南岗区跃进医院,南岗区西大直街395号,150080,0451-6321043,李明义,114,,69,
黑龙江,哈尔滨市,哈尔滨市人防医院,南岗区西大直街88号,150006,0451-3636745,沈志强,50,,86,
黑龙江,哈尔滨市,哈尔滨市南岗区大成医院,哈尔滨市宣化街,150008,0451-2718535,,,,,
黑龙江,哈尔滨市,哈尔滨市南岗区新春医院,哈尔滨市南岗区,150080,0451-2403614,,,,,
黑龙江,哈尔滨市,哈尔滨市动力区人民医院,哈尔滨市动力区哈平路,150040,0451-2108188、5697232,姜传文,53,,99,
黑龙江,哈尔滨市,哈尔滨市动力区黎明医院,哈尔滨市动力区通效路20号,150046,0451-2681561,,80,,35,
黑龙江,哈尔滨市,哈尔滨市动力区朝阳医院,哈尔滨市动力区新发,150069,0451-6671346,楚建富,60,,129,
黑龙江,哈尔滨市,哈尔滨市太平区团结医院,哈尔滨市太平区卫星路4号,150056,0451-7672807,亓恒君,55,,65,
黑龙江,哈尔滨市,太平区民主医院,哈尔滨市太平区,150056,0451-2300646,,,,,
黑龙江,哈尔滨市,哈尔滨市穆斯林医院,南岗区东大直街210号,150001,0451-3643537,李伯康,127,,173,
黑龙江,哈尔滨市,哈尔滨市普宁医院,哈尔滨道外区松浦镇云台街1号,150027,0451-8083306,张秀德,550,,,
黑龙江,哈尔滨市,哈尔滨市公安医院,哈尔滨市,150027,0451-4619266,,,,,
黑龙江,哈尔滨市,三棵树铁路医院,玉平区南棵头道街2号,150056,0451-3695237,,250,,113,五官科、中医科、传染科、急诊室等
黑龙江,哈尔滨市,哈尔滨铁路分局第二职工医院,哈尔滨市动力区文政街145号,150040,0451-6434614,周全,82,,93,
黑龙江,哈尔滨市,哈尔滨铁路医院,哈尔滨市太平区南棵头道3号,150056,0451-7683015,潘树东,120,,174,
黑龙江,哈尔滨市,铁道部第三工程局哈尔滨医院,哈尔滨市南岗区保健路123号,150086,0451-6661496,纪秀峰,200,,166,
黑龙江,哈尔滨市,哈尔滨船舶工程学院医院,南岗区一曼街1号91号楼,150001,0451-2533048,,101,,138,
黑龙江,哈尔滨市,哈尔滨工业大学医院,哈尔滨市南岗区司令街11号,150006,0451-3643543,,100,,139,
黑龙江,哈尔滨市,哈尔滨市第一工具厂职工医院,哈尔滨市南马路69号,150020,0451-4687011,,654,,875,
黑龙江,哈尔滨市,东北轻合金加工厂职工医院,哈尔滨市平房区建文街,150060,0451-8601101,,310,,612,
黑龙江,哈尔滨市,哈尔滨汽轮机厂职工医院,哈尔滨市动力区大庆路1号,150046,0451-2681404,,220,,276,
黑龙江,哈尔滨市,哈尔滨市第一职工医院,哈尔滨市动力区幸福路12号,150040,0451-2106701,,116,,90,
黑龙江,哈尔滨市,哈尔滨市第二工人医院,哈尔滨市太平区南直路319号,150056,0451-7684112,刘长和,195,,198,妇产科、五官科、口腔科等
黑龙江,哈尔滨市,哈尔滨市车辆厂职工医院,道里区经纬十一道街24号,150010,0451-4612460,,143,,176,
黑龙江,哈尔滨市,龙江电厂职工医院,哈尔滨市太平区新一街14号,150050,0451-7682388,,134,,76,
黑龙江,哈尔滨市,哈尔滨市木器厂职工医院,哈尔滨市道里区河古街8号,150076,0451-4603330,,120,,167,
黑龙江,哈尔滨市,国营松江电机制造厂职工医院,哈尔滨市动力区通乡街2号,150046,0451-2681321,,120,,164,
黑龙江,哈尔滨市,哈尔滨锅炉厂职工医院,哈尔滨市动力区大庆路26号,150046,0451-2101711,,120,,88,
黑龙江,哈尔滨市,哈尔滨市房地局职工医院,哈尔滨市太阳岛平原街34号,150010,0451-8190228,刘长义,107,,189,
黑龙江,哈尔滨市,国营建成机械厂职工医院,哈尔滨市香坊区建成街12号,150036,0451-5662914,,107,,153,
黑龙江,哈尔滨市,哈尔滨轴承厂职工医院,哈尔滨市香坊区油坊街1号,150030,0451-5664569,,106,,75,
黑龙江,哈尔滨市,国营哈尔滨亚麻纺织厂职工医院,动力区亚麻头道街8号,150040,0451-2627823,,106,,174,
黑龙江,哈尔滨市,哈尔滨水泥厂职工医院,哈尔滨市太平区水泥路54号,150050,0451-7671912,,101,,202,
黑龙江,哈尔滨市,哈尔滨市粮食局职工医院,哈尔滨市道外区北马57号,150020,0451-8322940,何镜雯,70,,129,
黑龙江,阿城市,阿城市人民医院,阿城市牌路大街,150300,0451-3721083,刘长津,348,,340,
黑龙江,阿城市,阿城市中医院,阿城市通城街,150300,0451-3722706,战继胜,156,,102,
黑龙江,阿城市,阿城市儿童医院,阿城市延川南大街,150300,0451-3721946,何秀琴,222,,265,五官科、眼科、口腔科、儿童保健科等
黑龙江,阿城市,阿城市妇幼保健院,阿城市牌路大街20号,150300,0451-3722510,关慧忠,146,,109,
黑龙江,阿城市,阿城市骨伤医院,阿城市延川南大街,150300,0451-3723676,赵松年,75,,126,
黑龙江,阿城市,黑龙江省松滨监狱医院,阿城市巨源乡新丰屯,150050,0451-8672401,,200,,67,耳鼻喉科、口腔科、骨科等
黑龙江,阿城市,阿城市继电器厂职工医院,阿城市河东街,150302,0451-3722346,,111,,173,
黑龙江,阿城市,黑龙江涤纶厂职工医院,阿城市和平街,150316,0451-3722601,,101,,171,
黑龙江,尚志市,尚志市中医院,尚志市中央大街23号,150601,0451-3323457,石仁善,100,,194,
黑龙江,尚志市,尚志市妇幼保健站,尚志市,150610,0451-3323513,,,,,
黑龙江,尚志市,尚志市工业职工医院,尚志市向阳委,150601,0451-3323330,克章元,112,,65,
黑龙江,尚志市,黑龙江省亚布力林业局职工医院,尚志市亚布力林业局,150631,0451-3430848,,155,,103,
黑龙江,尚志市,黑龙江省苇河林业局职工医院,尚志市苇河林业局,150623,0451-3402441,,160,,151,
黑龙江,双城市,双城市人民医院,双城市团结街,150100,0451-3122600,孙玉海,250,,75,骨科、肿瘤科、口腔科等
黑龙江,双城市,双城市中医院,双城市和平大街,150100,0451-3124337,梁守钦,60,,307,
黑龙江,双城市,双城市妇幼保健站,双城市,150100,0451-3124215,,,,,
黑龙江,双城市,双城市骨伤科医院,双城市和平街,150100,0451-3124774、3124242,白英文,86,,73,
黑龙江,双城市,双城市结核病防治所,双城市,150100,0451-3124517,,,,,
黑龙江,双城市,双城市广济医院,双城市隆化街22号,150100,0451-3123605,温金德,156,,208,
黑龙江,双城市,双城市同仁医院,双城市,150100,0451-3138835,,,,,
黑龙江,双城市,双城市工业职工医院双城市保险医院,双城市和平街,150100,0451-3124195,李忠伟,50,,67,
黑龙江,肇东市,肇东市人民医院,肇东市八道街,151100,0451-7713311,刘显平,300,,319,中医科、五官科、口腔科等
黑龙江,肇东市,肇东市第一医院,肇东市太平,151100,0451-7714075,孙靖,170,,203,
黑龙江,肇东市,肇东市中医院,肇东市正阳三道街,151100,0451-7713175,周喜才,100,,125,
黑龙江,肇东市,肇东市中医二院,肇东市正阳二街,151100,0451-7784741,李如文,220,,198,
黑龙江,肇东市,肇东市妇幼保健院,肇东市正阳三街,151100,0451-7714966,李耘学,210,,234,
黑龙江,肇东市,肇东市骨伤医院,肇东市,151100,0451-7784018,,,,,
黑龙江,肇东市,肇东市健民烧伤医院,肇东市,151100,0451-7792152,,,,,
黑龙江,肇东市,肇东市工人医院,肇东市正阳三道街28号,151100,0451-7713285,肖作章,150,,132,
黑龙江,肇东市,肇东市商业职工医院,肇东市北三道街,151100,0451-7714539,张殿生,150,,123,
黑龙江,五常市,五常市人民医院,五常市亚臣大街,150236,0451-5803352、5800279,冯有志,300,,116,整形外科、心血管内科、消化内科等
黑龙江,五常市,五常市第二人民医院,五常市解放街,150223,0451-3501345,村永丰,80,,84,
黑龙江,五常市,五常市妇幼保健院,五常市红旗街,150200,0451-3522327、3537222,郎国华,138,,93,
黑龙江,五常市,五常市山河人民医院,五常市东北街,150232,0451-3561568,郭玉森,126,,89,
黑龙江,五常市,五常市五常镇医院,五常市,150232,0451-3522848,,,,,
黑龙江,五常市,山河屯林业局职工医院,五常市山河屯林业地区,150232,0451-3572287,张晓绪,160,,69,
黑龙江,宾县,宾县人民医院,宾州镇西大街,150400,0451-7983643、7982653,陈洪达,250,,259,
黑龙江,宾县,宾县中医院,宾县宾州镇东大街,150400,0451-7982158、7915321,孙福成,165,,60,
黑龙江,宾县,宾县妇幼保健院,宾县北大直,150400,0451-7983136,冷尚纯,87,,65,
黑龙江,宾县,宾县口腔病防治所,宾县宾州镇文靖路,150400,0451-7982263,,59,,33,
黑龙江,宾县,宾县宾安中心医院,宾县宾安,150422,0451-7944148,郭庆财,130,,104,
黑龙江,呼兰县,黑龙江省第四医院黑龙江省结核病防治院,呼兰县胜利街52号,150500,0451-7322412,任启新,770,,53,
黑龙江,呼兰县,呼兰县第二人民医院,呼兰县解放街,150518,0451-7361135,李长友,120,,79,
黑龙江,呼兰县,呼兰县第二中医院,呼兰县胜利街,150518,0451-7361134,王力,10,,51,
黑龙江,呼兰县,呼兰县妇幼保健院,呼兰县花园街79号,150500,0451-7322710,高立升,80,,93,
黑龙江,呼兰县,呼兰县红十字医院,呼兰县,150500,0451-7335077,,,,,
黑龙江,依兰县,依兰县人民医院,依兰县五国街111号,154800,0451-7222736,刘永清,222,,248,
黑龙江,依兰县,依兰县中医院,依兰县通江路,154800,0451-7228114,,100,,87,
黑龙江,依兰县,依兰县妇幼保健院,依兰县,154800,0451-7222147,,,,,
黑龙江,依兰县,黑龙江省煤炭管理局依兰煤矿职工医院,依兰县达连河镇,154854,0451-7222202,,110,,134,
黑龙江,通河县,通河县人民医院,通河县向阳,150900,0451-7423010,高延民,200,,397,妇产科、五官科、普外科等
黑龙江,通河县,通河县中医院,通河县向阳,150900,0451-7422856、7422465,李庆林,42,,51,
黑龙江,通河县,通河县妇幼保健院,通河县,150900,0451-7422348,,,,,
黑龙江,通河县,通河县保健医院,通河县向阳,150900,0451-7422348,郑金山,68,,76,
黑龙江,通河县,通河县肛肠专科医院,通河县东兴,150900,0451-7423387,姜长贵,100,,71,
黑龙江,通河县,通河县清河林业局职工医院,通河县清河林业局,150913,0451-7480570,,105,,147,
黑龙江,通河县,巴彦县乌鸦泡林业局医院,通河县乌鸭泡,150921,0451-7400784,,100,,57,
黑龙江,巴彦县,巴彦县人民医院,巴彦镇兆林街,151800,0451-7522030,李冰,300,,169,骨外科、普外科、胸外科、呼吸内科等
黑龙江,巴彦县,巴彦县第二人民医院,巴彦县花园街,151801,0451-7533101,殷德鑫,98,,174,
黑龙江,巴彦县,巴彦中医院,巴彦县兴胜街,151800,0451-7522437,鲁振国,154,,144,
黑龙江,巴彦县,巴彦县妇幼保健站,巴彦县,151801,0451-7822997,,,,,
黑龙江,巴彦县,巴彦县兴隆林业局医院,巴彦县兴隆镇,151801,0451-7521400,,120,,101,
黑龙江,延寿县,延寿县人民医院,延寿县西公安街,150700,0451-3022532,杜春华,208,,202,泌尿外科、消化内科、皮肤科、口腔科等
黑龙江,延寿县,延寿县中医院,延寿县东同庆街38号,150700,0451-3022541,孙继凯,100,,130,
黑龙江,延寿县,延寿县妇幼保健站,延寿县,150700,0451-3024903,,,,,
黑龙江,木兰县,木兰县人民医院,木兰县木兰镇,151900,0451-7083399,赵育新,204,,138,胸颅外科、骨科、传染病科等
黑龙江,木兰县,木兰县第二人民医院,木兰县,151925,0451-7018376,王岩峰,177,,143,
黑龙江,木兰县,木兰县中医院,木兰县,151900,0451-7082669,张友,30,,124,
黑龙江,木兰县,木兰县妇幼保健院,木兰县,151900,0451-7083315,薛立茹,95,,105,
黑龙江,木兰县,木兰县红十字医院,木兰县,151900,0451-7083312,焦华,54,,84,
黑龙江,木兰县,木兰县精神病院,木兰县东兴镇,151925,0451-7083312,,100,,46,
黑龙江,方正县,方正县人民医院,方正县建设街,150800,0451-7122231,金铭镇,205,,164,
黑龙江,方正县,方正县中医院,方正县建设街,150800,0451-7122450,李志顺,50,,98,
黑龙江,方正县,方正县妇幼保健院,方正县,150800,0451-7122495,,,,,
黑龙江,方正县,方正县林业局高楞职工医院,方正县高楞,150822,0451-7122956,,150,,177,
黑龙江,齐齐哈尔市,齐齐哈尔市第二医院,齐齐哈尔市建华区中华西路,161006,0452-2551238、2125668、2551206,范奎元,300,,160,心血管内科、泌尿外科、放射科、肾内科、妇产科
黑龙江,齐齐哈尔市,齐齐哈尔市第四医院,齐齐哈尔市,161006,0452-2112561,,,,,
黑龙江,齐齐哈尔市,齐齐哈尔市第六医院,齐齐哈尔市,161006,0452-2881879,,,,,
黑龙江,齐齐哈尔市,齐齐哈尔市结核病院,齐齐哈尔市铁锋区树村路,161002,0452-2515794,,250,,27,
黑龙江,齐齐哈尔市,齐齐哈尔市口腔医院,建华区文化大街59-1号,161006,0452-2719176,,14,,17,
黑龙江,齐齐哈尔市,齐齐哈尔市五官医院,齐齐哈尔市建华区文化大街59-1,161006,0452-2719176、2714004,王彬杰,68,,51,
黑龙江,齐齐哈尔市,齐齐哈尔市第一神经精神病院齐齐哈尔市第五医院,齐齐哈尔市建华区新明街6号,161006,0452-2715497、2713975,陈葆颂,370,,128,
黑龙江,齐齐哈尔市,齐齐哈尔市肿瘤医院,铁锋区龙华路70号,161002,0452-2426008,,50,,185,
黑龙江,齐齐哈尔市,齐齐哈尔市传染病防治院,建华区游览路26号,161006,0452-2713602,时彦桥,167,,16,
黑龙江,齐齐哈尔市,齐齐哈尔市盲人按摩医院,齐齐哈尔市胜利二街,161006,0452-2497918,,,,,
黑龙江,齐齐哈尔市,齐齐哈尔市妇幼保健院,齐齐哈尔市,161000,0452-2551212,李佳华,,,,
黑龙江,齐齐哈尔市,齐齐哈尔市昂昂溪区人民医院,昂昂溪区兴盛路88号,161031,0452-6323727,王继仁,100,,163,
黑龙江,齐齐哈尔市,齐齐哈尔市昂昂溪区妇幼保健站,齐齐哈尔市昂昂溪区,161031,0452-6323573,,,,,
黑龙江,齐齐哈尔市,齐齐哈尔碾子山区人民医院,碾子山区繁荣路35号,161046,0452-6672231、6672847,胡继国,105,,76,
黑龙江,齐齐哈尔市,齐齐哈尔碾子山区中医院,齐齐哈尔碾子山区,161046,0452-6672553,,,,,
黑龙江,齐齐哈尔市,齐齐哈尔碾子山区妇幼保健站,齐齐哈尔碾子山区,161046,0452-6672416,,,,,
黑龙江,齐齐哈尔市,齐齐哈尔碾子山区华安厂职工医院,齐齐哈尔碾子山区,161046,0452-6673013,,,,,
黑龙江,齐齐哈尔市,齐齐哈尔市龙沙区医院,龙沙区卜奎大街51号,161000,0452-2426420,丛世军,164,,135,
黑龙江,齐齐哈尔市,齐齐哈尔市龙沙区中医院,龙沙区卜奎大街5号,161000,0452-2424258,李占林,88,,126,
黑龙江,齐齐哈尔市,齐齐哈尔市龙沙区妇幼保健站,齐齐哈尔市龙沙区,161000,0452-2220074,,,,,
黑龙江,齐齐哈尔市,齐齐哈尔市龙沙区正阳牙科医院,齐齐哈尔市龙沙区,161000,0452-2426549,,,,,
黑龙江,齐齐哈尔市,齐齐哈尔市铁锋区中医院,铁锋区南浦路工业胡同2号,161002,0452-2515913,史健,80,,121,
黑龙江,齐齐哈尔市,齐齐哈尔市铁锋区妇幼保健院,齐齐哈尔市铁锋区,161002,0452-2633715,,,,,
黑龙江,齐齐哈尔市,齐齐哈尔市建华区中医院,建华区中华路东市场小区6号,161006,0452-2552318,李连贵,80,,74,
黑龙江,齐齐哈尔市,齐齐哈尔市建华区妇幼保健站,齐齐哈尔市建华区,161006,0452-2553577,,,,,
黑龙江,齐齐哈尔市,齐齐哈尔市建华区中华产院,齐齐哈尔市运建小区,161006,0452-2426549,,,,,
黑龙江,齐齐哈尔市,齐齐哈尔市解放门医院,建华区卜奎街119号,161006,0452-2424233、2688233,,70,,167,
黑龙江,齐齐哈尔市,齐齐哈尔市梅里斯达斡尔族区人民医院,梅里斯达斡尔族区华丰街,161021,0452-6562724,甫成龙,80,,187,
黑龙江,齐齐哈尔市,齐齐哈尔市梅里斯达斡尔族区中医院,梅里斯达斡尔族区华丰街,161021,0452-6562292,安玉环,84,,141,
黑龙江,齐齐哈尔市,齐齐哈尔富拉尔基区传染病防治院,富拉尔基区健身路2号,161041,0452-6912328,潘兆惠,120,,75,
黑龙江,齐齐哈尔市,齐齐哈尔市富拉尔基区医院,富拉尔基区新华路224号,161041,0452-6882212、6722677,丁尚达,75,,111,
黑龙江,齐齐哈尔市,齐齐哈尔市富拉尔基区中医院,富拉尔基区富光路86号,161041,0452-6884222,丁汉医,60,,316,
黑龙江,齐齐哈尔市,富拉尔基纺织印染厂职工医院,富拉尔基区和平大街,161041,0452-2883951,,150,,137,
黑龙江,齐齐哈尔市,齐齐哈尔铁路专科医院,齐齐哈尔市建华区高头,161002,0452-2126417,关宏令,65,,98,
黑龙江,齐齐哈尔市,齐齐哈尔市工交医院,建华区裕毛街27号,161000,0452-2423444,范庆余,180,,172,
黑龙江,齐齐哈尔市,齐齐哈尔公安医院,建华区隆福胡同5号,161006,0452-2424165、2426656,,178,,198,
黑龙江,齐齐哈尔市,齐齐哈尔钢厂职工医院,富拉尔基区富江路43号,161041,0452-6884951,,352,,170,
黑龙江,齐齐哈尔市,齐齐哈尔市商业职工医院,齐市铁锋区平安南街13号,161000,0452-2427018,,213,,90,
黑龙江,齐齐哈尔市,齐齐哈尔市建筑职工医院,龙沙区合意大街106号,161005,0452-2473310、2475758,魏永贤,200,,140,骨科、眼科、口腔科、耳鼻喉科等
黑龙江,齐齐哈尔市,齐齐哈尔造纸厂职工医院,龙沙区新立街53号,161005,0452-2816931,,102,,167,
黑龙江,齐齐哈尔市,华安机械厂职工医院,碾子山区中兴街121号,161046,0452-2872251,,212,,180,
黑龙江,齐齐哈尔市,齐齐哈尔建筑防水材料厂职工医院,齐齐哈尔市,161042,0452-2634313,,,,,
黑龙江,齐齐哈尔市,齐齐哈尔联谊防水材料厂职工医院,齐齐哈尔市,161042,0452-2634583,,,,,
黑龙江,齐齐哈尔市,齐齐哈尔糖厂职工医院,齐齐哈尔市,161042,0452-2347953,,,,,
黑龙江,齐齐哈尔市,嫩江农场管理局中心医院,齐市龙沙区健美街9号,161005,0452-2473131、2817318,,210,,29,皮肤科、中医科、妇产科、传染病科等
黑龙江,齐齐哈尔市,黑龙江省农垦嫩江局中心医院,龙沙区桃南街13号,161005,0452-2481589,侯丽娜,201,,265,
黑龙江,齐齐哈尔市,昂昂溪铁路医院,昂昂溪区陵园路6号,161031,0452-6572277,梁连聚,146,,224,
黑龙江,讷河市,讷河市第一人民医院,讷河市东北街3号,161300,0452-3324599,刘院长,257,,148,
黑龙江,讷河市,讷河市第二人民医院,讷河市东北街6号,161342,0452-3712918,刘向明,100,,245,
黑龙江,讷河市,讷河市中医院,讷河市西南街7号,161300,0452-3322817,董祥,167,,136,
黑龙江,讷河市,讷河市妇幼保健院,讷河市西北街8号,161300,0452-3322257,刘开佳,124,,175,
黑龙江,泰来县,泰来县人民医院,泰来县泰来镇卫星街7号,162400,0452-8222676,康北生,150,,175,
黑龙江,泰来县,黑龙江泰来县中医院,泰来县东风街8号,162400,0452-8222074、8223151,王殿甲,75,,104,
黑龙江,泰来县,泰来县妇幼保健院,泰来县,162400,0452-8220744,,,,,
黑龙江,泰来县,泰来县新生医院,泰来县何阳街4号,162401,0452-8223895、8228724,南昭祥,148,,85,
黑龙江,泰来县,泰来汽车厂医院,泰来镇向阳街西区,162401,0452-8222709,,140,,124,
黑龙江,泰来县,黑龙江泰来县农机职工医院,泰来县新建街2号,162400,0452-8222566,李秀芬,130,,74,
黑龙江,克山县,克山县中西医结合医院,克山县南大直街一段,161603,0452-4522339、4523528,孙学伟,85,,103,
黑龙江,克山县,克山县妇幼保健站,克山县,161603,0452-4523191,,,,,
黑龙江,依安县,依安县中医院,依安县泰安大街128号,161500,0452-7023220,刘景和,60,,133,
黑龙江,依安县,依安县妇幼保健院,依安县明安路159号,161500,0452-7022939,李洪奎,64,,82,
黑龙江,富裕县,富裕县妇幼保健院,富裕县中心路北段道东,161200,0452-3123386,张春兰,102,,84,
黑龙江,富裕县,富裕县二道湾精神病院,富裕县,161200,0452-3060278,,,,,
黑龙江,富裕县,富裕县富路医院,富裕县二道湾镇,161200,0452-3060049、,辛永贵,400,,,
黑龙江,富裕县,黑龙江省水利一处医院,富裕县,161200,0452-3122716,,,,,
黑龙江,富裕县,富裕县富裕牧场医院,富裕县,161200,0452-3030225,,,,,
黑龙江,富裕县,黑龙江富裕造纸厂职工医院,富裕县关山路西,161200,0452-3122892,宋桂秋,50,,39,
黑龙江,克东县,克东县第二人民医院,克东县振兴街,164831,0452-4643230,高贵山,87,,157,
黑龙江,克东县,克东县妇幼保健院,克东县中兴街9号,164800,0452-4322370,常淑琴,100,,138,
黑龙江,拜泉县,拜泉县人民医院,拜泉县新生路150号,164700,0452-7323622,张森,244,,126,
黑龙江,拜泉县,拜泉县中医院,拜泉县朝阳街148号,164700,0452-7323643,李久文,148,,67,
黑龙江,拜泉县,拜泉县妇幼保健站,拜泉县,164700,0452-7323625,,,,,
黑龙江,拜泉县,拜泉县传染病院,拜泉县朝阳街220号,164700,0452-7322748,梅香贵,95,,84,
黑龙江,拜泉县,拜泉县精神病院,拜泉县北城外,164700,0452-7322790,刘珍,50,,10,
黑龙江,拜泉县,拜泉县牙病防治所,拜泉县人民路178号,164700,0452-7323235,王静波,70,,63,
黑龙江,龙江县,龙江县第二人民医院,龙江县西北街,161132,0452-5271957,李辉,100,,174,
黑龙江,龙江县,龙江县中医院,龙江县安卫街108号,161100,0452-5822245,何焕湘,150,,108,
黑龙江,龙江县,龙江县妇幼保健站,龙江县,161100,0452-5824886,,,,,
黑龙江,甘南县,甘南县人民医院,甘南县繁荣路57号,162100,0452-5623283、5623318,焦仲明,200,,161,
黑龙江,甘南县,甘南县中医院,甘南县建设路116号,162100,0452-5623840,王秀华,90,,71,
黑龙江,甘南县,甘南县妇幼保健站,甘南县,162100,0452-5623170,,,,,
黑龙江,甘南县,甘南县商业职工医院,甘南县繁荣路73号,162100,0452-5623378,寇志,103,,83,
黑龙江,甘南县,查哈阳农场职工医院,甘南县查哈阳农场,162116,0452-2832396,,160,,144,
黑龙江,牡丹江市,牡丹江医学院附属儿童医院,牡丹江市向阳街44号,157011,0453-6523581,,183,,133,心肾科、内分泌科、胸心科等
黑龙江,牡丹江市,牡丹江传染病医院,牡丹江市西圣林街,157011,0453-6222306,,200,,124,
黑龙江,牡丹江市,牡丹江市结核医院,牡丹江市北安街,157011,0453-6522351,刘江,335,,51,
黑龙江,牡丹江市,牡丹江市中医骨外医院,东安区东平安街59号,157000,0453-6223406,付久石,200,,60,
黑龙江,牡丹江市,牡丹江市心血管病医院,牡丹江市西海林街,157011,0453-6529375、6501270,徐家增,300,,137,
黑龙江,牡丹江市,牡丹江市口腔医院,牡丹江市东安区东长安街,157000,0453-6228433,刘同英,17,,300,
黑龙江,牡丹江市,牡丹江市肿瘤医院牡丹江市结核病防治院,阳明区东圣村街101号,157009,0453-6824351,刘江,350,,216,
黑龙江,牡丹江市,牡丹江市肛肠医院,阳明区阳明三条路4号,157013,0453-6331882,朱元廷,50,,68,
黑龙江,牡丹江市,牡丹江市桦林中医整骨医院,牡丹江市郊区桦林大街58号,157032,0453-6245037,蒋景龙,56,,109,
黑龙江,牡丹江市,牡丹江市职业病防治所,牡丹江市,157032,0453-6522734,,,,,
黑龙江,牡丹江市,牡丹江同仁血栓病医院,牡丹江市,157032,0453-6266734,,,,,
黑龙江,牡丹江市,牡丹江市红十字会医院,西安区西长安街44号,157000,0453-6222949,张福岭,158,,264,
黑龙江,牡丹江市,牡丹江市回民医院,牡丹江市东安区长安街126号,157000,0453-6228794,谷文生,124,,176,
黑龙江,牡丹江市,牡丹江市建安医院,爱民区向阳街36号,157011,0453-6522334,邵谦,165,,107,
黑龙江,牡丹江市,牡丹江市阳明医院,牡丹江市阳明三条路4号,157013,0453-6231882,,100,,67,
黑龙江,牡丹江市,牡丹江市先锋医院,牡丹江市西长安街47号,157000,0453-6222949,,100,,227,
黑龙江,牡丹江市,牡丹江市香江医院,牡丹江市,157000,0453-6501330,,,,,
黑龙江,牡丹江市,牡丹江市铁岭医院,牡丹江市,157400,0453-6393923,,,,,
黑龙江,牡丹江市,黑龙江省中医药职工中专附属医院,黑龙江兰西县新民街,151500,0455-7625359,刘英斌,106,,77,
黑龙江,牡丹江市,牡丹江市消防医院,牡丹江市,,0453-6228857,,,,,
黑龙江,牡丹江市,牡丹江北方工具厂职工医院,牡丹江市爱民街198号,157000,0453-6223123、6233171,曲廷孟,161,,136,
黑龙江,牡丹江市,牡丹江桦林橡胶厂职工医院,牡丹江市桦林镇,157032,0453-6245678,,157,,88,
黑龙江,牡丹江市,牡丹江机车厂职工医院,牡丹江市阳明街,157013,0453-6231111、6331194,许国强,100,,167,
黑龙江,牡丹江市,牡丹江纺织厂职工医院,牡丹江市地明街,157000,0453-6251777、6821068,,100,,143,
黑龙江,牡丹江市,牡丹江建筑工程职工医院,牡丹江市西圣林街,157011,0453-6522334,,100,,121,
黑龙江,牡丹江市,牡丹江水泥厂职工医院,牡丹江市温春镇,157041,0453-6225345,,100,,174,
黑龙江,牡丹江市,牡丹江造纸厂职工医院,牡丹江市阳明区光华街,157013,0453-6331333,王哲民,100,,146,
黑龙江,牡丹江市,牡丹江市第二发电厂职工医院,牡丹江市,157010,0453-6936954,,,,,
黑龙江,绥芬河市,绥芬河市人民医院,绥芬河市通天路,157300,0453-3922347,张梅,100,,142,
黑龙江,绥芬河市,绥芬河市中医院,绥芬河市新华街41号,157300,0453-3923480,程文志,103,,84,
